"GISJOIN","Geography","Y90Total","Y90A25to44","Y90A25to59","Y00Total","Y00A25to44","Y00A25to59","Y10total","Y10A25to44","Y10A25to59","place"
"G08030350","Glendale CDP, Colorado",NA,NA,NA,NA,NA,NA,69,22,40,"30350"
"G08030420","Gleneagle CDP, Colorado",1661,644,914,4246,1189,2264,6611,1458,3039,"30420"
"G08030780","Glenwood Springs city, Colorado",6561,2583,3470,7736,2577,4285,9614,3064,5166,"30780"
"G08030835","Golden city, Colorado",13116,4904,6663,17159,5732,8887,18867,5172,8957,"30835"
"G08030890","Goldfield CDP, Colorado",NA,NA,NA,NA,NA,NA,49,12,24,"30890"
"G08030945","Gold Hill CDP, Colorado",NA,NA,NA,210,78,141,230,46,126,"30945"
"G08031550","Granada town, Colorado",513,134,207,640,162,263,517,120,224,"31550"
"G08031605","Granby town, Colorado",966,358,490,1525,511,813,1864,542,1032,"31605"
"G08031660","Grand Junction city, Colorado",29034,8250,11990,41986,11033,18853,58566,14919,26491,"31660"
"G08031715","Grand Lake town, Colorado",259,107,141,447,131,273,471,95,251,"31715"
"G08031935","Grand View Estates CDP, Colorado",NA,NA,NA,691,210,393,528,96,266,"31935"
"G08032155","Greeley city, Colorado",60536,18358,25451,76930,20979,32585,92889,23628,39179,"32155"
"G08032650","Green Mountain Falls town, Colorado",663,308,405,773,257,487,640,119,330,"32650"
"G08033035","Greenwood Village city, Colorado",7589,2173,4047,11035,2639,5766,13925,3197,6910,"33035"
"G08033310","Grover town, Colorado",135,36,60,153,35,63,137,24,61,"33310"
"G08033420","Guffey CDP, Colorado",NA,NA,NA,NA,NA,NA,98,17,49,"33420"
"G08033502","Gunbarrel CDP, Colorado",9388,3690,5562,9435,2974,5417,9263,2587,4976,"33502"
"G08033640","Gunnison city, Colorado",4636,1143,1551,5409,1345,1973,5854,1527,2334,"33640"
"G08033695","Gypsum town, Colorado",1750,741,920,3654,1413,1965,6477,2164,3434,"33695"
"G08034520","Hartman town, Colorado",108,24,41,111,30,42,81,14,32,"34520"
"G08034685","Hasty CDP, Colorado",NA,NA,NA,NA,NA,NA,144,28,64,"34685"
"G08034740","Haswell town, Colorado",62,25,31,84,24,34,68,12,28,"34740"
"G08034960","Haxtun town, Colorado",952,194,340,982,221,379,946,184,382,"34960"
"G08035070","Hayden town, Colorado",1444,521,707,1634,541,827,1810,530,975,"35070"
"G08035400","Heeney CDP, Colorado",NA,NA,NA,NA,NA,NA,76,19,48,"35400"
"G08035860","Hidden Lake CDP, Colorado",NA,NA,NA,NA,NA,NA,31,12,19,"35860"
"G08036410","Highlands Ranch CDP, Colorado",10181,5093,6044,70931,29746,41119,96713,29368,50879,"36410"
"G08036610","Hillrose town, Colorado",169,50,75,254,77,120,264,55,122,"36610"
"G08036940","Hoehne CDP, Colorado",NA,NA,NA,NA,NA,NA,111,28,55,"36940"
"G08037215","Holly town, Colorado",877,234,350,1048,251,414,802,146,300,"37215"
"G08037220","Holly Hills CDP, Colorado",NA,NA,NA,NA,NA,NA,2521,585,1232,"37220"
"G08037270","Holyoke city, Colorado",1931,525,808,2261,601,963,2313,518,952,"37270"
"G08037380","Hooper town, Colorado",112,31,52,123,37,54,103,19,45,"37380"
"G08037545","Hotchkiss town, Colorado",744,182,291,968,256,421,944,223,433,"37545"
"G08037600","Hot Sulphur Springs town, Colorado",347,132,185,521,181,296,663,198,377,"37600"
"G08037655","Howard CDP, Colorado",NA,NA,NA,NA,NA,NA,723,98,318,"37655"
